disease,diseaseLabel,dis_type,drug,drugLabel,drug_type,rp
http://www.wikidata.org/entity/Q153356,chlamydia infection,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q632522,bacteriuria,disease,http://www.wikidata.org/entity/Q71969,methenamine,drug,can be treated by
http://www.wikidata.org/entity/Q786844,autoimmune hepatitis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q8084905,autoimmune disease,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q221668,urinary tract infection,disease,http://www.wikidata.org/entity/Q71969,methenamine,drug,can be treated by
http://www.wikidata.org/entity/Q6066379,bladder disease,disease,http://www.wikidata.org/entity/Q47512,acetic acid,drug,can be treated by
http://www.wikidata.org/entity/Q5325633,ear disease,disease,http://www.wikidata.org/entity/Q47512,acetic acid,drug,can be treated by
http://www.wikidata.org/entity/Q3936113,nasopharyngitis,disease,http://www.wikidata.org/entity/Q31030,xylometazoline,drug,can be treated by
http://www.wikidata.org/entity/Q18555301,facial dermatosis,disease,http://www.wikidata.org/entity/Q29417,tretinoin,drug,can be treated by
http://www.wikidata.org/entity/Q18553712,Crohn's colitis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q186470,tonsillitis,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,disease,http://www.wikidata.org/entity/Q61387,nortriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q19000444,neurotic disorder,disease,http://www.wikidata.org/entity/Q61387,nortriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q207092,erysipelas,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q246084,cystitis,disease,http://www.wikidata.org/entity/Q71969,methenamine,drug,can be treated by
http://www.wikidata.org/entity/Q837054,adenovirus infection,disease,http://www.wikidata.org/entity/Q79460,antibody,drug,can be treated by
http://www.wikidata.org/entity/Q1077505,Crimean-Congo hemorrhagic fever,disease,http://www.wikidata.org/entity/Q79460,antibody,drug,can be treated by
http://www.wikidata.org/entity/Q52851,plantar fasciitis,disease,http://www.wikidata.org/entity/Q47512,acetic acid,drug,can be treated by
http://www.wikidata.org/entity/Q680873,otitis externa,disease,http://www.wikidata.org/entity/Q47512,acetic acid,drug,can be treated by
http://www.wikidata.org/entity/Q41861,arterial hypertension,disease,http://www.wikidata.org/entity/Q39111,nifedipine,drug,can be treated by
http://www.wikidata.org/entity/Q134649,diphtheria,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q1928978,viral infectious disease,disease,http://www.wikidata.org/entity/Q942,bismuth,drug,can be treated by
http://www.wikidata.org/entity/Q178436,constipation,disease,http://www.wikidata.org/entity/Q44944,tegaserod,drug,can be treated by
http://www.wikidata.org/entity/Q187255,rheumatoid arthritis,disease,http://www.wikidata.org/entity/Q897,gold,drug,can be treated by
http://www.wikidata.org/entity/Q4340209,mental depression,disease,http://www.wikidata.org/entity/Q23118,lysergic acid diethylamide,drug,can be treated by
http://www.wikidata.org/entity/Q1890194,nutritional deficiency disease,disease,http://www.wikidata.org/entity/Q731,manganese,drug,can be treated by
http://www.wikidata.org/entity/Q355170,duodenal ulcer,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q727028,bacterial infectious disease,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q826759,status asthmaticus,disease,http://www.wikidata.org/entity/Q32921,halothane,drug,can be treated by
http://www.wikidata.org/entity/Q1878759,lymphangioleiomyomatosis,disease,http://www.wikidata.org/entity/Q32089,sirolimus,drug,can be treated by
http://www.wikidata.org/entity/Q8277,multiple sclerosis,disease,http://www.wikidata.org/entity/Q73972,hydroxocobalamin,drug,can be treated by
http://www.wikidata.org/entity/Q1227160,diphyllobothriasis,disease,http://www.wikidata.org/entity/Q127060,folic acid,drug,can be treated by
http://www.wikidata.org/entity/Q2070695,macrocytic anemia,disease,http://www.wikidata.org/entity/Q127060,folic acid,drug,can be treated by
http://www.wikidata.org/entity/Q10832211,megaloblastic anemia,disease,http://www.wikidata.org/entity/Q127060,folic acid,drug,can be treated by
http://www.wikidata.org/entity/Q202837,cardiac arrest,disease,http://www.wikidata.org/entity/Q132621,epinephrine,drug,can be treated by
http://www.wikidata.org/entity/Q2085267,pharyngitis,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q3936113,nasopharyngitis,disease,http://www.wikidata.org/entity/Q57055,paracetamol,drug,can be treated by
http://www.wikidata.org/entity/Q3025883,type 2 diabetes,disease,http://www.wikidata.org/entity/Q19484,metformin,drug,can be treated by
http://www.wikidata.org/entity/Q1346016,pernicious anemia,disease,http://www.wikidata.org/entity/Q73972,hydroxocobalamin,drug,can be treated by
http://www.wikidata.org/entity/Q4160985,diabetic polyneuropathy,disease,http://www.wikidata.org/entity/Q73972,hydroxocobalamin,drug,can be treated by
http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,disease,http://www.wikidata.org/entity/Q73972,hydroxocobalamin,drug,can be treated by
http://www.wikidata.org/entity/Q876887,cellulitis,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q183344,sinusitis,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q727028,bacterial infectious disease,disease,http://www.wikidata.org/entity/Q942,bismuth,drug,can be treated by
http://www.wikidata.org/entity/Q18558125,intracranial hypertension,disease,http://www.wikidata.org/entity/Q48318,urea,drug,can be treated by
http://www.wikidata.org/entity/Q1890194,nutritional deficiency disease,disease,http://www.wikidata.org/entity/Q876,selenium,drug,can be treated by
http://www.wikidata.org/entity/Q183392,rickets,disease,http://www.wikidata.org/entity/Q139200,ergocalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q4138764,ariboflavinosis,disease,http://www.wikidata.org/entity/Q130365,riboflavin,drug,can be treated by
http://www.wikidata.org/entity/Q41571,epilepsy,disease,http://www.wikidata.org/entity/Q2546,potassium bromide,drug,can be treated by
http://www.wikidata.org/entity/Q1128440,toxic shock syndrome,disease,http://www.wikidata.org/entity/Q132621,epinephrine,drug,can be treated by
http://www.wikidata.org/entity/Q3108586,open-angle glaucoma,disease,http://www.wikidata.org/entity/Q132621,epinephrine,drug,can be treated by
http://www.wikidata.org/entity/Q271993,hyperglycemia,disease,http://www.wikidata.org/entity/Q19484,metformin,drug,can be treated by
http://www.wikidata.org/entity/Q184084,beriberi,disease,http://www.wikidata.org/entity/Q83187,thiamine(1+) ion,drug,can be treated by
http://www.wikidata.org/entity/Q3184856,substance abuse,disease,http://www.wikidata.org/entity/Q243547,ketamine,drug,can be treated by
http://www.wikidata.org/entity/Q3091959,anisakiasis,disease,http://www.wikidata.org/entity/Q241992,flubendazole,drug,can be treated by
http://www.wikidata.org/entity/Q3705876,dermatomycosis,disease,http://www.wikidata.org/entity/Q123195,amorolfine,drug,can be treated by
http://www.wikidata.org/entity/Q6946984,Mycobacterium avium-intracellulare infection,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q769815,food allergy,disease,http://www.wikidata.org/entity/Q132621,epinephrine,drug,can be treated by
http://www.wikidata.org/entity/Q42844,major depressive disorder,disease,http://www.wikidata.org/entity/Q58356,amoxapine,drug,can be treated by
http://www.wikidata.org/entity/Q202837,cardiac arrest,disease,http://www.wikidata.org/entity/Q26272,atropine,drug,can be treated by
http://www.wikidata.org/entity/Q355170,duodenal ulcer,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q280027,uveitis,disease,http://www.wikidata.org/entity/Q26272,atropine,drug,can be treated by
http://www.wikidata.org/entity/Q165328,osteoporosis,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q4340209,mental depression,disease,http://www.wikidata.org/entity/Q243547,ketamine,drug,can be treated by
http://www.wikidata.org/entity/Q221441,pellagra,disease,http://www.wikidata.org/entity/Q134658,nicotinic acid,drug,can be treated by
http://www.wikidata.org/entity/Q2710164,dental abscess,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q838966,irritable bowel syndrome,disease,http://www.wikidata.org/entity/Q44944,tegaserod,drug,can be treated by
http://www.wikidata.org/entity/Q223591,gastroesophageal reflux disease,disease,http://www.wikidata.org/entity/Q3515,(RS)-rabeprazole,drug,can be treated by
http://www.wikidata.org/entity/Q4003020,gastric ulcer,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q2184368,peptic esophagitis,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q4003020,gastric ulcer,disease,http://www.wikidata.org/entity/Q26272,atropine,drug,can be treated by
http://www.wikidata.org/entity/Q223254,otitis media,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q12125,common cold,disease,http://www.wikidata.org/entity/Q57055,paracetamol,drug,can be treated by
http://www.wikidata.org/entity/Q221441,pellagra,disease,http://www.wikidata.org/entity/Q83187,thiamine(1+) ion,drug,can be treated by
http://www.wikidata.org/entity/Q178436,constipation,disease,http://www.wikidata.org/entity/Q132501,glycerol,drug,can be treated by
http://www.wikidata.org/entity/Q355170,duodenal ulcer,disease,http://www.wikidata.org/entity/Q3515,(RS)-rabeprazole,drug,can be treated by
http://www.wikidata.org/entity/Q12078,cancer,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q9294051,ocular hypertension,disease,http://www.wikidata.org/entity/Q48318,urea,drug,can be treated by
http://www.wikidata.org/entity/Q3801491,epidermolytic hyperkeratosis,disease,http://www.wikidata.org/entity/Q48318,urea,drug,can be treated by
http://www.wikidata.org/entity/Q12192,pneumonia,disease,http://www.wikidata.org/entity/Q12187,antibiotic,drug,can be treated by
http://www.wikidata.org/entity/Q32147145,maturity-onset diabetes of the young type 2,disease,http://www.wikidata.org/entity/Q19484,metformin,drug,can be treated by
http://www.wikidata.org/entity/Q18553993,corneal edema,disease,http://www.wikidata.org/entity/Q2314,sodium chloride,drug,can be treated by
http://www.wikidata.org/entity/Q18553790,dry eye syndrome,disease,http://www.wikidata.org/entity/Q2314,sodium chloride,drug,can be treated by
http://www.wikidata.org/entity/Q18554323,secondary hyperparathyroidism of renal origin,disease,http://www.wikidata.org/entity/Q139307,calcifediol,drug,can be treated by
http://www.wikidata.org/entity/Q133823,migraine,disease,http://www.wikidata.org/entity/Q57055,paracetamol,drug,can be treated by
http://www.wikidata.org/entity/Q223591,gastroesophageal reflux disease,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q612108,acute promyelocytic leukemia,disease,http://www.wikidata.org/entity/Q7739,arsenic trioxide,drug,can be treated by
http://www.wikidata.org/entity/Q18554145,familial hyperlipidemia,disease,http://www.wikidata.org/entity/Q134658,nicotinic acid,drug,can be treated by
http://www.wikidata.org/entity/Q736715,chronic renal insufficiency,disease,http://www.wikidata.org/entity/Q23767,calcium carbonate,drug,can be treated by
http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,disease,http://www.wikidata.org/entity/Q83187,thiamine(1+) ion,drug,can be treated by
http://www.wikidata.org/entity/Q218712,Zollinger–Ellison syndrome,disease,http://www.wikidata.org/entity/Q3515,(RS)-rabeprazole,drug,can be treated by
http://www.wikidata.org/entity/Q1472,Crohn's disease,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q1477,ulcerative colitis,disease,http://www.wikidata.org/entity/Q12144,nicotine,drug,can be treated by
http://www.wikidata.org/entity/Q326663,tick-borne encephalitis,disease,http://www.wikidata.org/entity/Q134658,nicotinic acid,drug,can be treated by
http://www.wikidata.org/entity/Q229256,dermatitis,disease,http://www.wikidata.org/entity/Q132501,glycerol,drug,can be treated by
http://www.wikidata.org/entity/Q1586088,hypoparathyroidism,disease,http://www.wikidata.org/entity/Q139200,ergocalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q7069348,cholelithiasis,disease,http://www.wikidata.org/entity/Q241374,ursodiol,drug,can be treated by
http://www.wikidata.org/entity/Q1072420,primary biliary cirrhosis,disease,http://www.wikidata.org/entity/Q241374,ursodiol,drug,can be treated by
http://www.wikidata.org/entity/Q134649,diphtheria,disease,http://www.wikidata.org/entity/Q12190,penicillin,drug,can be treated by
http://www.wikidata.org/entity/Q264118,acute myeloid leukemia,disease,http://www.wikidata.org/entity/Q385347,6-thioguanine,drug,can be treated by
http://www.wikidata.org/entity/Q18555301,facial dermatosis,disease,http://www.wikidata.org/entity/Q385370,desoximetasone,drug,can be treated by
http://www.wikidata.org/entity/Q1573307,Wernicke encephalopathy,disease,http://www.wikidata.org/entity/Q83187,thiamine(1+) ion,drug,can be treated by
http://www.wikidata.org/entity/Q844935,coronary artery disease,disease,http://www.wikidata.org/entity/Q384295,gemfibrozil,drug,can be treated by
http://www.wikidata.org/entity/Q389735,cardiovascular disease,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q220193,premenstrual syndrome,disease,http://www.wikidata.org/entity/Q57055,paracetamol,drug,can be treated by
http://www.wikidata.org/entity/Q2700304,Bolivian hemorrhagic fever,disease,http://www.wikidata.org/entity/Q79749,blood plasma,drug,can be treated by
http://www.wikidata.org/entity/Q2583514,Argentine hemorrhagic fever,disease,http://www.wikidata.org/entity/Q79749,blood plasma,drug,can be treated by
http://www.wikidata.org/entity/Q165328,osteoporosis,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q18553444,nicotine dependence,disease,http://www.wikidata.org/entity/Q12144,nicotine,drug,can be treated by
http://www.wikidata.org/entity/Q183392,rickets,disease,http://www.wikidata.org/entity/Q139195,calcitriol,drug,can be treated by
http://www.wikidata.org/entity/Q203601,pneumothorax,disease,http://www.wikidata.org/entity/Q134583,talc,drug,can be treated by
http://www.wikidata.org/entity/Q18558101,mechanical strabismus,disease,http://www.wikidata.org/entity/Q384993,isoflurophate,drug,can be treated by
http://www.wikidata.org/entity/Q180266,scarlet fever,disease,http://www.wikidata.org/entity/Q12190,penicillin,drug,can be treated by
http://www.wikidata.org/entity/Q4676432,acropustulosis,disease,http://www.wikidata.org/entity/Q139195,calcitriol,drug,can be treated by
http://www.wikidata.org/entity/Q1344835,hyperparathyroidism,disease,http://www.wikidata.org/entity/Q139195,calcitriol,drug,can be treated by
http://www.wikidata.org/entity/Q84263196,COVID-19,disease,http://www.wikidata.org/entity/Q326224,(S)-(−)-colchicine,drug,can be treated by
http://www.wikidata.org/entity/Q890785,meningococcal disease,disease,http://www.wikidata.org/entity/Q244150,ampicillin,drug,can be treated by
http://www.wikidata.org/entity/Q187255,rheumatoid arthritis,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q184559,arteriosclerosis,disease,http://www.wikidata.org/entity/Q384295,gemfibrozil,drug,can be treated by
http://www.wikidata.org/entity/Q422268,actinomycosis,disease,http://www.wikidata.org/entity/Q244150,ampicillin,drug,can be treated by
http://www.wikidata.org/entity/Q327005,glanders,disease,http://www.wikidata.org/entity/Q244150,ampicillin,drug,can be treated by
http://www.wikidata.org/entity/Q133087,gout,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q736715,chronic renal insufficiency,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q753904,rheumatic fever,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q62736,osteoarthritis,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q3184856,substance abuse,disease,http://www.wikidata.org/entity/Q303646,hydromorphone,drug,can be treated by
http://www.wikidata.org/entity/Q1586088,hypoparathyroidism,disease,http://www.wikidata.org/entity/Q143263,ergosterol,drug,can be treated by
http://www.wikidata.org/entity/Q18554145,familial hyperlipidemia,disease,http://www.wikidata.org/entity/Q384295,gemfibrozil,drug,can be treated by
http://www.wikidata.org/entity/Q18555066,relapsing-remitting multiple sclerosis,disease,http://www.wikidata.org/entity/Q386119,natalizumab,drug,can be treated by
http://www.wikidata.org/entity/Q18555094,central nervous system origin vertigo,disease,http://www.wikidata.org/entity/Q386441,(RS)-meclizine,drug,can be treated by
http://www.wikidata.org/entity/Q18965511,secondary progressive multiple sclerosis,disease,http://www.wikidata.org/entity/Q386119,natalizumab,drug,can be treated by
http://www.wikidata.org/entity/Q265936,Kawasaki disease,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q207092,erysipelas,disease,http://www.wikidata.org/entity/Q244150,ampicillin,drug,can be treated by
http://www.wikidata.org/entity/Q2840,influenza,disease,http://www.wikidata.org/entity/Q146075,zanamivir,drug,can be treated by
http://www.wikidata.org/entity/Q18554145,familial hyperlipidemia,disease,http://www.wikidata.org/entity/Q321285,ubidecarenone,drug,can be treated by
http://www.wikidata.org/entity/Q19000661,congestive heart failure,disease,http://www.wikidata.org/entity/Q321285,ubidecarenone,drug,can be treated by
http://www.wikidata.org/entity/Q3991731,thyrotoxicosis,disease,http://www.wikidata.org/entity/Q327362,liothyronine,drug,can be treated by
http://www.wikidata.org/entity/Q18556131,thyroid carcinoma,disease,http://www.wikidata.org/entity/Q327362,liothyronine,drug,can be treated by
http://www.wikidata.org/entity/Q815819,atrial fibrillation,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q2184304,transient tic disorder,disease,http://www.wikidata.org/entity/Q144085,pimozide,drug,can be treated by
http://www.wikidata.org/entity/Q2157462,schizophreniform disorder,disease,http://www.wikidata.org/entity/Q144085,pimozide,drug,can be treated by
http://www.wikidata.org/entity/Q422225,actinic keratosis,disease,http://www.wikidata.org/entity/Q244408,diclofenac,drug,can be treated by
http://www.wikidata.org/entity/Q949302,skin disease,disease,http://www.wikidata.org/entity/Q139347,cholecalciferol,drug,can be treated by
http://www.wikidata.org/entity/Q18558122,acute myocardial infarction,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q18554884,retinal vein occlusion,disease,http://www.wikidata.org/entity/Q18216,aspirin,drug,can be treated by
http://www.wikidata.org/entity/Q41112,schizophrenia,disease,http://www.wikidata.org/entity/Q144085,pimozide,drug,can be treated by
http://www.wikidata.org/entity/Q18556697,human immunodeficiency virus infectious disease,disease,http://www.wikidata.org/entity/Q304330,abacavir,drug,can be treated by
http://www.wikidata.org/entity/Q3281322,peroxisomal disease,disease,http://www.wikidata.org/entity/Q287415,cholic acid,drug,can be treated by
http://www.wikidata.org/entity/Q41861,arterial hypertension,disease,http://www.wikidata.org/entity/Q155472,valsartan,drug,can be treated by
http://www.wikidata.org/entity/Q18555307,leg dermatosis,disease,http://www.wikidata.org/entity/Q385370,desoximetasone,drug,can be treated by
http://www.wikidata.org/entity/Q18555313,hand dermatosis,disease,http://www.wikidata.org/entity/Q385370,desoximetasone,drug,can be treated by
http://www.wikidata.org/entity/Q18555302,scalp dermatosis,disease,http://www.wikidata.org/entity/Q385370,desoximetasone,drug,can be treated by
http://www.wikidata.org/entity/Q36855,swine influenza,disease,http://www.wikidata.org/entity/Q146075,zanamivir,drug,can be treated by
http://www.wikidata.org/entity/Q612681,anuria,disease,http://www.wikidata.org/entity/Q388801,furosemide,drug,can be treated by
http://www.wikidata.org/entity/Q504790,nephrotic syndrome,disease,http://www.wikidata.org/entity/Q388801,furosemide,drug,can be treated by
